epoch,loss,val_loss,val_acc,time
49,0.27010,0.31502,0.9548,186
50,0.92235,0.53131,0.9342,60
51,0.50515,0.57880,0.8962,59
52,0.48880,0.55296,0.9144,57
53,0.44613,0.51874,0.9358,57
54,0.42762,0.49014,0.9398,58
55,0.40459,0.48926,0.9382,59
56,0.39029,0.50961,0.9303,57
57,0.38020,0.53195,0.9247,57
58,0.37097,0.54846,0.9247,57
59,0.36476,0.55906,0.9247,57
60,0.32734,0.32084,0.9548,197
61,0.27692,0.31968,0.9501,192
62,0.26637,0.31283,0.9525,190
63,0.26190,0.31404,0.9509,189
64,0.25574,0.30741,0.9517,190
65,0.25024,0.31016,0.9532,188
66,0.24946,0.30082,0.9556,184
67,0.24487,0.30004,0.9556,190
68,0.24206,0.29764,0.9564,188
69,0.24168,0.29744,0.9548,192
