epoch,loss,val_loss,val_acc,time
0,1.52972,1.43317,0.6775,1799
1,0.89545,0.93179,0.2504,478
2,0.81925,0.92718,0.2504,314
3,0.76594,0.77476,0.6078,223
4,0.66527,0.60829,0.8487,196
5,0.58875,0.56773,0.8772,186
6,0.55720,0.54939,0.9033,181
7,0.53427,0.52821,0.9073,184
8,0.52239,0.50749,0.9231,178
9,0.51511,0.50288,0.9105,184
10,0.51833,0.49986,0.9065,157
11,0.49595,0.46235,0.9287,186
12,0.47891,0.45570,0.9239,195
13,0.46015,0.44268,0.9303,191
14,0.45433,0.43711,0.9366,193
15,0.44611,0.43053,0.9303,208
16,0.44338,0.42466,0.9279,195
17,0.42845,0.41625,0.9342,195
18,0.42223,0.41293,0.9342,189
19,0.41293,0.41727,0.9271,190
20,0.44395,0.41284,0.9374,205
21,0.41707,0.41851,0.9216,192
22,0.40625,0.40533,0.9287,187
23,0.39694,0.41096,0.9366,187
24,0.40037,0.39711,0.9350,189
25,0.38889,0.38860,0.9390,189
26,0.38354,0.39060,0.9406,209
27,0.38031,0.38782,0.9414,204
28,0.37133,0.38383,0.9422,206
29,0.36818,0.38178,0.9429,204
30,0.40205,0.38048,0.9437,212
31,0.36420,0.37713,0.9445,205
32,0.36232,0.38468,0.9366,212
33,0.35217,0.37967,0.9350,196
34,0.34712,0.36999,0.9477,196
35,0.34426,0.36786,0.9437,204
36,0.33662,0.36012,0.9477,202
37,0.33317,0.36029,0.9477,201
38,0.32765,0.35689,0.9469,202
39,0.31968,0.35469,0.9445,199
40,0.35354,0.35820,0.9477,203
41,0.31559,0.35022,0.9485,197
42,0.31526,0.34168,0.9453,204
43,0.30676,0.33568,0.9532,204
44,0.29776,0.33122,0.9485,197
45,0.29077,0.33076,0.9493,184
46,0.28124,0.32262,0.9517,186
47,0.27913,0.31854,0.9556,180
48,0.27791,0.31795,0.9564,185
49,0.27010,0.31502,0.9548,186
