epoch,loss,val_loss,val_acc
0,21.8818,19.3203,0.6775
1,19.4050,19.1750,0.4271
2,18.8996,18.0494,0.7235
3,18.2856,17.7470,0.8138
4,18.0951,17.5131,0.8447
5,17.8473,17.4290,0.8788
6,17.8571,17.3474,0.8819
7,17.8162,17.2168,0.8693
8,17.6603,17.1603,0.8487
9,17.4709,17.1281,0.8487
10,17.5849,17.1001,0.8685
11,17.5245,17.0812,0.8613
12,17.5667,17.0627,0.8677
13,17.5358,17.0451,0.8748
14,17.4082,17.0275,0.8859
15,17.5685,17.0114,0.8978
16,17.5251,17.0061,0.9025
17,17.4299,16.9856,0.9081
18,17.3970,16.9796,0.9065
19,17.3395,16.9730,0.9073
20,17.4222,16.9646,0.9105
21,17.5634,16.9567,0.9120
22,17.3589,16.9504,0.9113
23,17.2404,16.9452,0.9128
24,17.3166,16.9393,0.9136
25,17.3681,16.9322,0.9152
26,17.3346,16.9294,0.9136
27,17.3424,16.9237,0.9152
28,17.5413,16.9194,0.9152
29,17.4737,16.9146,0.9176
30,17.3808,16.9120,0.9160
31,17.4922,16.9093,0.9160
32,17.2362,16.9064,0.9160
33,17.3308,16.9008,0.9200
34,17.3105,16.8991,0.9176
35,17.2948,16.8962,0.9176
36,17.1860,16.8949,0.9168
37,17.2459,16.8930,0.9184
38,17.2986,16.8917,0.9192
39,17.1472,16.8902,0.9192
40,17.3517,16.8889,0.9200
41,17.3302,16.8881,0.9200
42,17.2593,16.8870,0.9200
43,17.2927,16.8859,0.9192
44,17.2643,16.8850,0.9192
45,17.2047,16.8846,0.9192
46,17.3940,16.8836,0.9192
47,17.2829,16.8827,0.9192
48,17.3277,16.8822,0.9192
49,17.2246,16.8815,0.9192
